Project 18 - MCU Block  Revised: Monday, August 24, 2026
P18_MCU          Revision: 2

Politecnico di Torino
Corso Duca degli Abruzzi, 24
Andrea Mugnaini



Design Name:  C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN

Cross Reference           August 24,2026      19:50:31,Page1

Item,Part,Reference,SchematicName,Sheet,Library
____________________________________________________________________________

28,100 NF,C3,/MCU,1,C:\CADENCE\ORCADX_25.1\TOOLS\CAPTURE\LIBRARY\PSPICE\FILTSUB.OLB,
29,100 NF,C5,/MCU,1,C:\CADENCE\ORCADX_25.1\TOOLS\CAPTURE\LIBRARY\PSPICE\FILTSUB.OLB,
30,100 NF,C7,/MCU,1,C:\CADENCE\ORCADX_25.1\TOOLS\CAPTURE\LIBRARY\PSPICE\FILTSUB.OLB,
31,100 NF,C8,/MCU,1,C:\CADENCE\ORCADX_25.1\TOOLS\CAPTURE\LIBRARY\PSPICE\FILTSUB.OLB,
32,100 Ohm,R1,/MCU,1,C:\CADENCE\ORCADX_25.1\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB,
33,100 Ohm,R11,/MCU/PERIPH/PWR/RELAY,4,C:\ESEPROJECTLIB\WORKSPACE\PROJECTS\PROJECT18\PROJECT18.DSN,
34,100 kOhm,R3,/MCU,1,C:\CADENCE\ORCADX_25.1\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB,
35,100 nF,C13,/MCU,1,C:\ORCAD_PERSONAL_LIBRARY\ESE_PROJECT_LIB.OLB,
36,270 Ohm,R6,/MCU/PERIPH,2,C:\ORCAD_PERSONAL_LIBRARY\ESE_PROJECT_LIB.OLB,
37,470 uF,C17,/MCU/PERIPH/PWR,3,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
38,680 OHM,R4,/MCU/PERIPH,2,C:\ORCAD_PERSONAL_LIBRARY\ESE_PROJECT_LIB.OLB,
39,680 OHM,R5,/MCU/PERIPH,2,C:\ORCAD_PERSONAL_LIBRARY\ESE_PROJECT_LIB.OLB,
40,1825910-6,S1,/MCU/PERIPH,2,C:\USERS\ANDRE\APPDATA\ROAMING\SPB_DATA\CDSSETUP\ORCAD_CAPTURE\25.1.0\TEMP\DOWNLOADED_PARTS\SAMACSYS_PART_1780253666\1825910-6\CAPTURE\1825910-6.OLB,
41,Antenna,A1,/MCU/PERIPH,2,C:\ORCAD_PERSONAL_LIBRARY\ESE_PROJECT_LIB.OLB,
42,BATTERY CHARGER,IC?A,/MCU/PERIPH/PWR,3,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
43,BATTERY CHARGER,IC?B,/MCU/PERIPH/PWR,3,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
44,CONN_2PH,J5,/MCU/PERIPH/PWR,3,C:\USERS\GIORGIO\DOCUMENTS\CADENCE\CDSSETUP\WORKSPACE\LIBRARIES\SYMBOLS\S2B-PH-K-S-LF-SN.OLB,
45,CONN_2P,J3,/MCU/PERIPH/PWR,3,C:\USERS\GIORGIO\DOCUMENTS\CADENCE\CDSSETUP\WORKSPACE\LIBRARIES\SYMBOLS\1729128.OLB,
46,CONN_2P,J6,/MCU/PERIPH/PWR/RELAY,4,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
47,CONN_3P,J1,/MCU,1,C:\USERS\ANDRE\APPDATA\ROAMING\SPB_DATA\CDSSETUP\ORCAD_CAPTURE\25.1.0\TEMP\DOWNLOADED_PARTS\UL_PART_1780000383\ORCADCAPTUREXML\277-1274-ND.OLB,
48,FTSH-105-XX-X-DV,J2,/MCU/PERIPH,2,C:\USERS\ANDRE\APPDATA\ROAMING\SPB_DATA\CDSSETUP\ORCAD_CAPTURE\25.1.0\TEMP\DOWNLOADED_PARTS\SNAPEDA_PART_1780261021\FTSH-105-XX-X-DV.OLB,
49,M7,D2,/MCU/PERIPH/PWR/RELAY,4,C:\USERS\ANDRE\APPDATA\ROAMING\SPB_DATA\CDSSETUP\ORCAD_CAPTURE\25.1.0\TEMP\DOWNLOADED_PARTS\SAMACSYS_PART_1780253509\M7\CAPTURE\M7.OLB,
50,MOSFET_N,Q2,/MCU/PERIPH/PWR/RELAY,4,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
51,MOSFET_N,Q1,/MCU,1,C:\CADENCE\ORCADX_25.1\TOOLS\CAPTURE\LIBRARY\DISCRETE.OLB,
52,Microcontroller,IC2,/MCU,1,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
53,RELAY,U?,/MCU/PERIPH/PWR/RELAY,4,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
54,SS14,D1,/MCU/PERIPH/PWR,3,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
55,USB-C,J4,/MCU/PERIPH/PWR,3,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
56,Voltage Regulator,IC1,/MCU/PERIPH/PWR,3,C:\USERS\ANDRE\DESKTOP\ESE_GROUP18\ORCAD_WORKSPACE\WORKSPACE\PROJECTS\MOISTURESENSOR\SO1L.DSN,
57,green led,LED1,/MCU/PERIPH,2,C:\ORCAD_PERSONAL_LIBRARY\ESE_PROJECT_LIB.OLB,
58,red led,LED2,/MCU/PERIPH,2,C:\ORCAD_PERSONAL_LIBRARY\ESE_PROJECT_LIB.OLB,
