A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_CDS_FSP_UID!FUNC_NO_SWAP_PIN!FUNC_HARD_LOCATION!FUNC_NO_SWAP_GATE_EXT!FUNC_CDS_FSP_MAPPED_CELL!FUNC_CDS_FSP_FPGA_SYMBOL!FUNC_CDS_FSP_TERM_TYPE!FUNC_CDS_FSP_TERM_NAME!FUNC_ROOM!FUNC_GROUP!FUNC_CDS_FSP_TERM_INDEX!FUNC_CDS_FSP_INSTANCE_ID!FUNC_NO_SWAP_GATE!FUNC_NO_XNET_CONNECTION!FUNC_CDS_FSP_IS_FPGA!
J!C:/Users/andre/Desktop/Ese_Group18/Orcad_Workspace/workspace/projects/moisturesensor/allegro/SO1L.brd!Thu Aug 13 17:19:04 2026!0.0000!0.0000!533.4000!431.8000!0.0001!millimeters!SO1L!10.400000 mil!2!UP TO DATE!
S!@so1l.so1l(sch_1):ins983@filtsub.\c.normal\(chips)!C_CAP_CC0603_YAG_100 NF!C8!.\chipsView.dat!!!!!!F42!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins83431@cl10b106mq8nrnc.\cl10b106mq8nrnc.normal\(sch_1)!CL10B106MQ8NRNC_CAP_CL10_SAM_10 UF!C20!.\chipsView.dat!!!!!!F41!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins484@filtsub.\c.normal\(chips)!C_CAP_CC0603_YAG_10 UF!C4!.\chipsView.dat!!!!!!F40!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins951@filtsub.\c.normal\(chips)!C_CAP_CC0603_YAG_10 UF!C6!.\chipsView.dat!!!!!!F39!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins1268@filtsub.\c.normal\(chips)!C_CK05_DNM!C9!.\chipsView.dat!!!!!!F38!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins83375@so1l.\ss14_0.normal\(chips)!SS14_0_DIOM5127X261N_SS14!D1!.\chipsView.dat!!!!!!F37!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins131282@m7.\m7.normal\(chips)!M7_DIOM5327X240N_M7!D2!.\chipsView.dat!!!!!!F36!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins131859@tps62177dqcr.\tps62177dqcr.normal\(chips)!TPS62177DQCR_SON50P200X300X80-11N_TPS62177DQCR!IC1!.\chipsView.dat!!!!!!F35!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins82851@\277-1274-nd\.\1725669.normal\(sch_1)!1725669_CONN_1725669_PXC_CONN_03P_00C_1!J1!.\chipsView.dat!!!!!!F34!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins136685@\ftsh-105-xx-x-dv\.\ftsh-105-xx-x-dv.normal\(chips)!FTSH-105-XX-X-DV_SAMTEC_FTSH-105-XX-X-DV_FTSH-105-XX-X-DV!J2!.\chipsView.dat!!!!!!F33!!!!!!!!!!!!!!!!!!
