Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number,Assigned SKU,Assigned Manufacturer Part Number,Assigned Manufacturer Name,Design Risk Score,Market Availability,Reach Compliant,ROHS Compliant,Status,Price Range
1,,LED1,green led,,LITE-ON Technology,LTST-C193KGKT-5A,LTST-C193KGKT-5A-1101663604,LTST-C193KGKT-5A,LITE-ON Technology,10,10,,,Active,$0.06425-$0.07392
1,,LED2,red led,,LITE-ON Technology,LTST-C193KSKT-5A,LTST-C193KSKT-5A-1390670315,LTST-C193KSKT-5A,LITE-ON Technology,10,10,,,Active,$0.05168-$0.05587
1,,Q1,MOSFET N,,Alpha and Omega Semiconductor,AO3400A,AO3400A-1300403095,AO3400A,Alpha and Omega Semiconductor,9,9,,,Active,$0.08144-$0.08804
1,,Q2,AO3400A,30V N-Channel MOSFET,Alpha and Omega Semiconductor,AO3400A,AO3400A-1300403095,AO3400A,Alpha and Omega Semiconductor,9,9,,,Active,$0.08144-$0.08804
1,,R1,100 Ohm,,YAGEO Corp.,RC0603FR-07100RL,RC0603FR-07100RL-2121402425,RC0603FR-07100RL,YAGEO Corp.,10,10,,,Active,$0.00719-$0.01047
1,,R2,1 kOhm,,YAGEO Corp.,RC0603FR-071KL,RC0603FR-071KL-1918764013,RC0603FR-071KL,YAGEO Corp.,10,10,,,Active,$0.00125-$0.04591
1,,R3,100 kOhm,,YAGEO Corp.,RC0603FR-13100KL,RC0603FR-13100KL-2121403223,RC0603FR-13100KL,YAGEO Corp.,10,10,,,Active,$0.00111-$0.00254
1,,R4,680 Ohm,,YAGEO Corp.,RC0603JR-07680RL,RC0603JR-07680RL-2121404169,RC0603JR-07680RL,YAGEO Corp.,10,10,,,Active,$0.00112-$0.00308
1,,R5,680 Ohm,,YAGEO Corp.,RC0603JR-07680RL,RC0603JR-07680RL-2121404169,RC0603JR-07680RL,YAGEO Corp.,10,10,,,Active,$0.00112-$0.00308
1,,R6,270 Ohm,,YAGEO Corp.,RC0603FR-07270RL,RC0603FR-07270RL-2121402710,RC0603FR-07270RL,YAGEO Corp.,10,10,,,Active,$0.00314-$0.00346
