Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
121,1,33k,"RESISTOR, THICK FILM, 33k, -1%/+1%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22477,R32,,,18487,,,
122,1,51k,"RESISTOR, THICK FILM, 51k, -5%/+5%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22491,R33,,,19438,,,
123,1,30k,"RESISTOR, THICK FILM, 30k, -5%/+5%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22490,R34,,,19441,,,
124,1,1k,"RESISTOR, THICK FILM, 1k, -5%/+5%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22486,R39,,,18195,,,
125,1,DNM,"RESISTOR, DO NOT MOUNT, 0603, SMD",01-02493,R46,,,20910,,,
126,1,DNM,"RESISTOR, DO NOT MOUNT, 0603, SMD",01-02493,R47,,,20913,,,
127,1,DNM,"RESISTOR, DO NOT MOUNT, 0603, SMD",01-02493,R48,,,20916,,,
128,1,DNM,"RESISTOR, DO NOT MOUNT, 0603, SMD",01-02493,R49,,,20919,,,
129,1,DNM,"RESISTOR, DO NOT MOUNT, 0603, SMD",01-02493,R51,,,20922,,,
130,1,0,"RESISTOR, THICK FILM, 0, 0R/+0.02R, 0.1W, 75V, -55DEGC/+155DEGC, 0603, SMD",01-20043,R52,,,21176,,,
131,1,100,"RESISTOR, THICK FILM, 100, -5%/+5%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22482,R55,,,21067,,,
132,1,100,"RESISTOR, THICK FILM, 100, -5%/+5%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22482,R56,,,21070,,,
133,1,100,"RESISTOR, THICK FILM, 100, -5%/+5%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22482,R57,,,21621,,,
134,1,3.3k,"RESISTOR, THICK FILM, 3.3k, -5%/+5%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22488,R58,,,21618,,,
135,1,DNM,"RESISTOR, DO NOT MOUNT, 0402, SMD",01-22339,R59,,,21835,,,
136,1,DNM,"RESISTOR, DO NOT MOUNT, 0402, SMD",01-22339,R60,,,21832,,,
137,1,100k,"RESISTOR, THICK FILM, 100k, -1%/+1%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22536,R61,,,21800,,,
138,1,100k,"RESISTOR, THICK FILM, 100k, -1%/+1%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22536,R62,,,21808,,,
139,1,100k,"RESISTOR, THICK FILM, 100k, -1%/+1%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22536,R63,,,21819,,,
140,1,100k,"RESISTOR, THICK FILM, 100k, -1%/+1%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22536,R65,,,21826,,,
141,1,100,"RESISTOR, THICK FILM, 100, -5%/+5%, 0.063W, 50V, -55DEGC/+155DEGC, 0402, SMD",01-22482,R66,,,21885,,,
142,1,DNM,"RESISTOR, DO NOT MOUNT, 0402, SMD",01-22339,R67,,,21888,,,
143,1,1188E-1K2-V,"SWITCH, TACT, 0.05A@250VAC, 0.05A@12VDC, 0.05A, 250V, SMD",08-00293,SW1,,,21265,,,
144,1,1188E-1K2-V,"SWITCH, TACT, 0.05A@250VAC, 0.05A@12VDC, 0.05A, 250V, SMD",08-00293,SW2,,,21270,,,
145,1,1188E-1K2-V,"SWITCH, TACT, 0.05A@250VAC, 0.05A@12VDC, 0.05A, 250V, SMD",08-00293,SW3,,,21624,,,
146,1,CC2640R2FRGZ,"IC, MICROCONTROLLER, CC2640, SIMPLELINK BLUETOOTH SMART WIRELESS MCU, 1.8V TO 3.8V, VQFN48-EP, SMD",18-33408,U1,,,"22384,17719",,,
147,1,MX25R8035FZUIL0,"IC, MEMORY, FLASH, SERIAL, 8Mbit, 1.65V TO 3.6V, USON8, SMD",18-31726,U4,,,21315,,,
148,1,TM4C1294NCPDTT3R,"IC, MICROPROCESSOR, TIVA C SERIES MICROCONTROLLER, ARM CRTEX-M4, 2.97V TO 3.63V, TQFP128, SMD",18-29511,U5,,,"18142,18304,18327",,,
149,1,LM4040B25IDCK,"IC, ANALOG, PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE, 2.5V, SC70-5, SMD",18-29558,U6,,,18318,,,
150,1,TPS79601DR,"IC, ANALOG, ULTRALOW-NOISE, HIGH PSRR, FAST, RF, 1A LOW-DROPOUT LINEAR REGULATORS, VIN:2.7V TO 5.5V, VOUT:1.2V TO 5.5V, SON8, SMD",18-29530,U7,,,21037,,,
151,1,SN74AVC4T245RSV,"IC, DIGITAL, LOGIC, 4bit DUAL-SUPPLY BUS TRANSCEIVER 3 STATE OUTPUT, 1.2V TO 3.6V, UQFN16, SMD",18-29288,U8,,,21329,,,
152,1,SN74AVC4T245RSV,"IC, DIGITAL, LOGIC, 4bit DUAL-SUPPLY BUS TRANSCEIVER 3 STATE OUTPUT, 1.2V TO 3.6V, UQFN16, SMD",18-29288,U9,,,21348,,,
153,1,SN74AVC4T245RSV,"IC, DIGITAL, LOGIC, 4bit DUAL-SUPPLY BUS TRANSCEIVER 3 STATE OUTPUT, 1.2V TO 3.6V, UQFN16, SMD",18-29288,U10,,,21365,,,
154,1,32.768kHz,"CRYSTAL, RESONATOR, 32.768kHz, -20PPM/+20PPM, -40DEGC/+85DEGC, SMD",12-00546,Y1,,,17786,,,
155,1,24MHz,"CRYSTAL, CRYSTAL OSCILLATOR, 24MHz, -15PPM/DEGC/+15PPM/DEGC, -40DEGC/+85DEGC, SMD",12-00757,Y2,,,17815,,,
156,1,16MHz,"CRYSTAL, OSCILLATOR, 16MHz, -30PPM/DEGC/+30PPM/DEGC, -40DEGC/+85DEGC, SMD",12-00745,Y3,,,18296,,,
